cell_list,protein_list,tissue_list
HT29,ENSP00000326888,large intestine
HT29,ENSP00000262316,large intestine
HT29,ENSP00000337572,large intestine
HT29,ENSP00000216962,large intestine
HT29,ENSP00000249806,large intestine
HT29,ENSP00000312618,large intestine
HT29,ENSP00000392330,large intestine
HT29,ENSP00000358997,large intestine
HT29,ENSP00000252483,large intestine
HT29,ENSP00000320188,large intestine
HT29,ENSP00000346173,large intestine
HT29,ENSP00000305906,large intestine
HT29,ENSP00000006015,large intestine
HT29,ENSP00000283921,large intestine
HT29,ENSP00000239144,large intestine
HT29,ENSP00000309439,large intestine
HT29,ENSP00000375892,large intestine
HT29,ENSP00000221543,large intestine
HT29,ENSP00000367608,large intestine
HT29,ENSP00000406546,large intestine
HT29,ENSP00000293745,large intestine
HT29,ENSP00000335247,large intestine
HT29,ENSP00000284437,large intestine
HT29,ENSP00000234396,large intestine
HT29,ENSP00000401508,large intestine
HT29,ENSP00000246194,large intestine
HT29,ENSP00000302478,large intestine
HT29,ENSP00000370508,large intestine
HT29,ENSP00000371811,large intestine
HT29,ENSP00000370222,large intestine
HT29,ENSP00000366819,large intestine
HT29,ENSP00000364519,large intestine
HT29,ENSP00000278243,large intestine
HT29,ENSP00000362057,large intestine
HT29,ENSP00000262753,large intestine
HT29,ENSP00000301149,large intestine
HT29,ENSP00000223114,large intestine
HT29,ENSP00000270800,large intestine
HT29,ENSP00000349493,large intestine
HT29,ENSP00000310561,large intestine
HT29,ENSP00000325929,large intestine
HT29,ENSP00000267328,large intestine
HT29,ENSP00000262461,large intestine
HT29,ENSP00000291536,large intestine
HT29,ENSP00000003084,large intestine
HT29,ENSP00000362562,large intestine
HT29,ENSP00000359795,large intestine
HT29,ENSP00000370194,large intestine
HT29,ENSP00000382120,large intestine
HT29,ENSP00000374265,large intestine
HT29,ENSP00000365924,large intestine
HT29,ENSP00000379377,large intestine
HT29,ENSP00000261267,large intestine
HT29,ENSP00000294304,large intestine
HT29,ENSP00000210633,large intestine
HT29,ENSP00000222982,large intestine
HT29,ENSP00000167588,large intestine
HT29,ENSP00000265593,large intestine
HT29,ENSP00000380450,large intestine
HT29,ENSP00000302216,large intestine
HT29,ENSP00000310803,large intestine
HT29,ENSP00000441929,large intestine
HT29,ENSP00000293599,large intestine
HT29,ENSP00000296695,large intestine
HT29,ENSP00000219368,large intestine
HT29,ENSP00000376445,large intestine
HT29,ENSP00000201647,large intestine
HT29,ENSP00000201586,large intestine
HT29,ENSP00000245451,large intestine
HT29,ENSP00000259708,large intestine
HT29,ENSP00000321691,large intestine
HT29,ENSP00000265978,large intestine
HT29,ENSP00000359532,large intestine
HT29,ENSP00000367629,large intestine
HT29,ENSP00000353785,large intestine
HT29,ENSP00000280325,large intestine
HT29,ENSP00000381785,large intestine
HT29,ENSP00000205948,large intestine
HT29,ENSP00000356771,large intestine
HT29,ENSP00000363557,large intestine
HT29,ENSP00000272190,large intestine
HT29,ENSP00000361097,large intestine
HT29,ENSP00000361087,large intestine
HT29,ENSP00000337701,large intestine
HT29,ENSP00000359198,large intestine
HT29,ENSP00000329471,large intestine
HT29,ENSP00000217402,large intestine
HT29,ENSP00000350896,large intestine
HT29,ENSP00000221462,large intestine
HT29,ENSP00000370128,large intestine
HT29,ENSP00000393840,large intestine
HT29,ENSP00000368678,large intestine
HT29,ENSP00000367615,large intestine
HT29,ENSP00000344155,large intestine
HT29,ENSP00000279206,large intestine
HT29,ENSP00000326070,large intestine
HT29,ENSP00000414390,large intestine
HT29,ENSP00000270625,large intestine
HT29,ENSP00000368927,large intestine
HT29,ENSP00000278927,large intestine
HT29,ENSP00000360797,large intestine
HT29,ENSP00000332646,large intestine
HT29,ENSP00000413572,large intestine
HT29,ENSP00000359376,large intestine
HT29,ENSP00000294119,large intestine
